Minimizacion.
Branch & Cut.
Solution status: integer optimal solution.
MIP Objective value:			 7615
LP Objetctive value:			 6875
Gap vs Nodo Raiz:			 10.76363636
Gap final alcanzado:			 0
Tiempo en PreOptimizacion:		 0.04917788506 [segs]
Tiempo en Optimizar:			 22.49184608 [segs]
Tiempo en Buscar Cortes:		 9.196366549 [segs]
Numero de variables:			 201
Numero de restricciones:		 133
Numero de nodos:			 7288
Nodo de valor optimo:			 5679
Nodos que quedaron sin explorar:	 0
Cortes Cover Dynamic Agregados>		 74937
Cortes Cover Greedy Agregados>		 2652
Cortes Clique Agregados>		 49378
Cantidad de ejes en Grafo Conflicto>	 789

